Date,Session_ID,User_ID,Country,City,Device,Browser,Traffic_Source,Campaign,Landing_Page,Sessions,Users,New_User,Page_Views,Avg_Session_Duration_Min,Bounce_Rate,Conversions,Revenue_USD,Exit_Page,Conversion_Rate
2024-05-23,SES000026,USR00174,Canada,Vancouver,Tablet,Firefox,Social,Product Launch,Checkout,1,1,No,3,4.81,55,0,0,Checkout,0.0
2024-10-27,SES000027,USR00663,India,Bengaluru,Mobile,Safari,Organic Search,Summer Sale,Pricing,1,1,Yes,6,3.19,38,0,0,Home,0.0
2024-12-09,SES000028,USR00295,Canada,Toronto,Mobile,Firefox,Direct,Product Launch,Home,2,1,No,6,0.95,53,0,0,Pricing,0.0
2024-08-26,SES000029,USR01484,India,Hyderabad,Tablet,Safari,Social,Summer Sale,Checkout,2,1,No,9,5.72,57,0,0,Contact,0.0
2024-05-22,SES000030,USR00772,Australia,Sydney,Desktop,Firefox,Direct,Product Launch,Home,2,1,Yes,4,5.0,37,0,0,Checkout,0.0
2024-09-07,SES000031,USR01733,Canada,Vancouver,Mobile,Edge,Social,Brand Awareness,Checkout,1,1,Yes,3,2.35,62,0,0,Checkout,0.0
2025-04-16,SES000032,USR01420,Canada,Vancouver,Mobile,Edge,Referral,Product Launch,Contact,3,1,Yes,4,0.88,38,0,0,Home,0.0
2025-05-12,SES000033,USR00409,UK,London,Desktop,Edge,Paid Search,Summer Sale,Blog,3,1,Yes,8,2.74,36,0,0,Home,0.0
2025-06-02,SES000034,USR00272,Canada,Vancouver,Mobile,Edge,Referral,Summer Sale,Checkout,2,1,No,4,2.35,34,0,0,Blog,0.0
2025-02-07,SES000035,USR00004,India,Pune,Mobile,Edge,Direct,Festive Offer,Blog,4,1,Yes,11,7.1,46,0,0,Products,0.0
2024-01-13,SES000036,USR00575,UK,Manchester,Mobile,Chrome,Organic Search,Summer Sale,Checkout,1,1,No,7,5.05,40,0,0,Products,0.0
2024-09-12,SES000037,USR01125,UK,Manchester,Mobile,Safari,Organic Search,No Campaign,Home,3,1,Yes,10,7.05,27,0,0,Blog,0.0
2025-04-06,SES000038,USR00578,Australia,Sydney,Mobile,Edge,Organic Search,Festive Offer,Checkout,1,1,No,4,3.52,32,0,0,Products,0.0
2024-11-04,SES000039,USR01128,Canada,Vancouver,Mobile,Safari,Paid Search,Email Retention,Pricing,1,1,No,5,3.66,38,0,0,Contact,0.0
2024-07-16,SES000040,USR01784,USA,New York,Mobile,Firefox,Direct,Email Retention,Blog,3,1,Yes,7,3.33,48,0,0,Pricing,0.0
2024-03-04,SES000041,USR00914,Canada,Vancouver,Mobile,Firefox,Organic Search,Festive Offer,Home,2,1,Yes,4,1.02,35,0,0,Checkout,0.0
2025-04-29,SES000042,USR01929,Australia,Melbourne,Mobile,Firefox,Organic Search,Summer Sale,Contact,4,1,Yes,12,0.81,34,0,0,Products,0.0
2024-08-26,SES000043,USR00204,Australia,Sydney,Mobile,Chrome,Organic Search,Festive Offer,Contact,2,1,Yes,7,3.4,43,0,0,Products,0.0
2024-01-02,SES000044,USR01444,India,Hyderabad,Mobile,Edge,Direct,Summer Sale,Home,3,1,Yes,7,4.14,52,1,270,Checkout,33.33
2025-03-06,SES000045,USR00812,India,Delhi,Mobile,Safari,Direct,Summer Sale,Pricing,3,1,Yes,7,2.17,52,0,0,Products,0.0
2024-11-15,SES000046,USR00116,USA,Chicago,Mobile,Safari,Organic Search,Email Retention,Home,3,1,Yes,5,0.96,42,0,0,Contact,0.0
2024-05-25,SES000047,USR01529,Canada,Toronto,Desktop,Firefox,Organic Search,Summer Sale,Pricing,4,1,No,10,6.42,30,0,0,Pricing,0.0
2025-03-29,SES000048,USR01684,USA,New York,Mobile,Firefox,Organic Search,Summer Sale,Home,3,1,No,10,2.11,30,0,0,Contact,0.0
2025-04-02,SES000049,USR00084,USA,Dallas,Mobile,Firefox,Referral,Summer Sale,Blog,1,1,Yes,8,6.18,39,0,0,Home,0.0
2024-09-20,SES000050,USR00610,USA,New York,Desktop,Chrome,Organic Search,No Campaign,Contact,3,1,Yes,9,0.96,28,0,0,Products,0.0
2024-04-19,SES000051,USR00622,Canada,Vancouver,Tablet,Safari,Organic Search,Product Launch,Products,3,1,No,10,6.57,42,1,438,Blog,33.33
2025-01-05,SES000052,USR01116,Australia,Sydney,Mobile,Edge,Organic Search,Brand Awareness,Blog,2,1,Yes,6,7.42,40,1,342,Pricing,50.0
2024-03-27,SES000053,USR01735,USA,New York,Mobile,Chrome,Email,Festive Offer,Pricing,4,1,No,7,4.6,37,0,0,Pricing,0.0
2024-09-17,SES000054,USR00133,UK,London,Mobile,Firefox,Organic Search,Festive Offer,Products,2,1,Yes,5,5.15,36,0,0,Home,0.0
2025-04-20,SES000055,USR00104,India,Mumbai,Mobile,Safari,Social,Product Launch,Contact,2,1,Yes,10,7.03,58,0,0,Pricing,0.0
2025-06-08,SES000056,USR00697,USA,San Francisco,Mobile,Safari,Social,Summer Sale,Products,1,1,No,3,1.06,58,0,0,Checkout,0.0
2024-07-27,SES000057,USR00208,India,Delhi,Mobile,Firefox,Organic Search,No Campaign,Contact,3,1,Yes,5,5.08,33,1,268,Home,33.33
2024-06-16,SES000058,USR00038,Canada,Vancouver,Mobile,Edge,Organic Search,No Campaign,Products,3,1,No,10,5.68,28,0,0,Products,0.0
2024-01-07,SES000059,USR00183,Canada,Toronto,Mobile,Edge,Social,No Campaign,Contact,4,1,Yes,10,1.78,61,0,0,Pricing,0.0
2024-06-14,SES000060,USR01245,Australia,Sydney,Desktop,Firefox,Organic Search,Summer Sale,Checkout,4,1,Yes,8,5.09,36,0,0,Products,0.0
2025-02-18,SES000061,USR00253,Australia,Sydney,Desktop,Safari,Organic Search,Brand Awareness,Checkout,2,1,Yes,3,1.08,39,0,0,Contact,0.0
2024-02-09,SES000062,USR01032,UK,London,Mobile,Firefox,Direct,Brand Awareness,Home,3,1,Yes,10,4.95,46,0,0,Blog,0.0
2025-04-21,SES000063,USR01033,USA,San Francisco,Desktop,Chrome,Social,Summer Sale,Checkout,4,1,Yes,7,1.35,62,0,0,Checkout,0.0
2024-11-17,SES000064,USR00270,Australia,Sydney,Mobile,Firefox,Direct,Festive Offer,Products,4,1,Yes,7,1.24,37,0,0,Pricing,0.0
2024-09-15,SES000065,USR00487,USA,Dallas,Desktop,Edge,Organic Search,Festive Offer,Home,4,1,Yes,7,2.02,35,0,0,Products,0.0
2024-10-11,SES000066,USR01138,UK,Manchester,Mobile,Chrome,Social,Festive Offer,Contact,1,1,No,2,5.74,58,0,0,Pricing,0.0
2024-09-28,SES000067,USR01962,Canada,Vancouver,Mobile,Chrome,Organic Search,Festive Offer,Contact,1,1,No,9,2.88,34,0,0,Contact,0.0
2024-11-16,SES000068,USR00046,India,Mumbai,Mobile,Chrome,Organic Search,Summer Sale,Contact,4,1,No,11,2.84,43,0,0,Contact,0.0
2024-12-31,SES000069,USR00029,Australia,Sydney,Mobile,Safari,Organic Search,No Campaign,Products,2,1,No,6,1.44,38,0,0,Checkout,0.0
2024-05-28,SES000070,USR01503,UK,Manchester,Desktop,Firefox,Email,Brand Awareness,Products,1,1,Yes,7,1.09,44,0,0,Contact,0.0
2024-01-26,SES000071,USR01062,Canada,Toronto,Mobile,Firefox,Organic Search,Product Launch,Products,1,1,No,2,1.23,33,0,0,Checkout,0.0
2024-02-19,SES000072,USR00688,Canada,Toronto,Mobile,Edge,Direct,No Campaign,Home,4,1,No,6,5.06,51,0,0,Checkout,0.0
2025-03-22,SES000073,USR01724,Australia,Melbourne,Mobile,Safari,Referral,Brand Awareness,Checkout,2,1,No,4,2.09,48,1,180,Blog,50.0
2024-12-02,SES000074,USR01812,Australia,Sydney,Mobile,Edge,Social,Brand Awareness,Blog,4,1,Yes,12,4.59,63,0,0,Products,0.0
2024-05-28,SES000075,USR01419,India,Mumbai,Mobile,Chrome,Paid Search,No Campaign,Home,2,1,Yes,8,1.24,26,1,130,Contact,50.0
2025-01-07,SES000076,USR01299,USA,New York,Desktop,Chrome,Paid Search,No Campaign,Checkout,4,1,No,6,4.0,29,1,445,Products,25.0
2024-04-10,SES000077,USR01466,USA,Dallas,Mobile,Edge,Direct,Festive Offer,Contact,1,1,No,7,6.5,45,0,0,Contact,0.0
2024-02-01,SES000078,USR01177,Canada,Toronto,Mobile,Edge,Social,Brand Awareness,Blog,3,1,Yes,11,4.31,48,0,0,Pricing,0.0
2024-02-25,SES000079,USR01934,India,Delhi,Mobile,Safari,Direct,Festive Offer,Products,2,1,Yes,10,4.14,48,0,0,Home,0.0
2024-03-23,SES000080,USR01846,Canada,Toronto,Mobile,Safari,Organic Search,Email Retention,Checkout,4,1,Yes,11,7.12,29,0,0,Products,0.0
2024-02-04,SES000081,USR00947,UK,Manchester,Mobile,Safari,Social,Product Launch,Products,4,1,No,10,2.82,52,0,0,Checkout,0.0
2024-06-07,SES000082,USR00209,USA,Chicago,Desktop,Safari,Direct,No Campaign,Home,3,1,Yes,6,3.37,44,0,0,Products,0.0
2024-11-05,SES000083,USR00070,UK,Manchester,Mobile,Chrome,Organic Search,Email Retention,Blog,1,1,Yes,6,4.15,33,0,0,Checkout,0.0
2024-10-30,SES000084,USR01733,Canada,Toronto,Mobile,Safari,Direct,No Campaign,Checkout,4,1,Yes,5,5.35,44,0,0,Checkout,0.0
2024-05-07,SES000085,USR01460,Canada,Vancouver,Mobile,Safari,Paid Search,Festive Offer,Blog,1,1,No,8,3.85,29,0,0,Contact,0.0
2025-02-23,SES000086,USR00079,Australia,Sydney,Desktop,Edge,Organic Search,Product Launch,Products,1,1,Yes,8,5.6,42,0,0,Products,0.0
2025-06-15,SES000087,USR01069,UK,London,Desktop,Edge,Direct,Email Retention,Checkout,2,1,No,10,2.21,53,1,249,Checkout,50.0
2024-07-07,SES000088,USR00028,Canada,Toronto,Desktop,Chrome,Direct,Email Retention,Blog,1,1,No,6,4.69,45,0,0,Home,0.0
2024-08-17,SES000089,USR01659,UK,Manchester,Desktop,Safari,Direct,Email Retention,Checkout,2,1,Yes,9,6.26,51,0,0,Products,0.0
2024-12-27,SES000090,USR00771,Canada,Vancouver,Tablet,Edge,Paid Search,Email Retention,Checkout,2,1,Yes,10,4.03,33,0,0,Checkout,0.0
2024-10-14,SES000091,USR00175,UK,London,Mobile,Edge,Organic Search,Brand Awareness,Contact,4,1,No,11,5.04,29,0,0,Home,0.0
2024-01-12,SES000092,USR00710,USA,New York,Mobile,Safari,Organic Search,Brand Awareness,Blog,1,1,Yes,4,4.88,34,0,0,Checkout,0.0
2024-04-02,SES000093,USR00859,Australia,Melbourne,Mobile,Safari,Paid Search,Brand Awareness,Blog,1,1,No,9,4.53,25,0,0,Blog,0.0
2025-04-23,SES000094,USR01020,USA,San Francisco,Mobile,Edge,Organic Search,Email Retention,Pricing,1,1,No,4,3.61,37,0,0,Checkout,0.0
2024-03-18,SES000095,USR01551,USA,Dallas,Mobile,Safari,Organic Search,Summer Sale,Products,1,1,No,7,4.99,30,0,0,Pricing,0.0
2024-04-06,SES000096,USR01694,UK,Manchester,Mobile,Edge,Direct,Festive Offer,Pricing,2,1,No,7,3.5,50,0,0,Contact,0.0
2024-10-05,SES000097,USR00262,Australia,Melbourne,Tablet,Chrome,Paid Search,Summer Sale,Blog,1,1,No,7,4.45,28,0,0,Home,0.0
2025-02-12,SES000098,USR01412,UK,London,Mobile,Chrome,Organic Search,Brand Awareness,Home,4,1,No,5,4.99,43,0,0,Products,0.0
2024-04-13,SES000099,USR01455,USA,New York,Mobile,Edge,Organic Search,Festive Offer,Products,1,1,No,7,1.03,31,0,0,Home,0.0
2025-03-17,SES000100,USR01393,Australia,Sydney,Mobile,Firefox,Direct,Product Launch,Contact,1,1,Yes,8,3.99,49,0,0,Blog,0.0
2024-04-14,SES000101,USR00250,India,Bengaluru,Mobile,Chrome,Organic Search,Brand Awareness,Home,1,1,Yes,8,3.96,27,1,402,Pricing,100.0
2024-09-05,SES000102,USR01372,Canada,Toronto,Desktop,Edge,Organic Search,Summer Sale,Checkout,2,1,Yes,4,0.88,36,0,0,Home,0.0
2024-03-22,SES000103,USR01980,Canada,Vancouver,Mobile,Chrome,Direct,Festive Offer,Checkout,4,1,Yes,5,5.02,47,0,0,Blog,0.0
2025-05-03,SES000104,USR00681,Canada,Vancouver,Desktop,Chrome,Social,Brand Awareness,Contact,3,1,No,8,4.72,55,0,0,Products,0.0
2025-01-20,SES000105,USR01818,Canada,Vancouver,Mobile,Chrome,Referral,Festive Offer,Products,4,1,Yes,9,2.63,32,0,0,Contact,0.0
2025-05-26,SES000106,USR01201,UK,London,Mobile,Chrome,Direct,Email Retention,Blog,4,1,Yes,8,4.39,44,0,0,Pricing,0.0
2024-03-05,SES000107,USR01651,USA,San Francisco,Mobile,Edge,Referral,Festive Offer,Contact,3,1,No,11,3.5,48,0,0,Contact,0.0
2024-06-01,SES000108,USR00647,USA,New York,Desktop,Chrome,Direct,Festive Offer,Pricing,1,1,Yes,7,1.43,51,0,0,Products,0.0
2025-05-12,SES000109,USR00694,Australia,Sydney,Mobile,Safari,Social,Brand Awareness,Blog,4,1,Yes,6,0.98,61,0,0,Home,0.0
2025-01-13,SES000110,USR00527,Canada,Vancouver,Desktop,Edge,Referral,Product Launch,Products,1,1,Yes,8,7.21,35,0,0,Checkout,0.0
2025-06-02,SES000111,USR00122,Canada,Toronto,Mobile,Chrome,Organic Search,Summer Sale,Pricing,2,1,No,6,1.17,32,1,240,Products,50.0
2024-11-21,SES000112,USR00904,India,Pune,Mobile,Safari,Organic Search,Brand Awareness,Checkout,4,1,Yes,6,3.93,42,0,0,Products,0.0
2024-02-06,SES000113,USR01287,USA,Chicago,Mobile,Chrome,Direct,Email Retention,Pricing,3,1,No,6,6.31,51,0,0,Blog,0.0
2024-04-28,SES000114,USR00844,UK,London,Mobile,Safari,Paid Search,Brand Awareness,Home,2,1,No,10,4.63,26,0,0,Pricing,0.0
2024-12-08,SES000115,USR01147,USA,Dallas,Mobile,Firefox,Organic Search,Festive Offer,Home,4,1,No,6,5.86,31,0,0,Pricing,0.0
2025-03-18,SES000116,USR00033,UK,London,Desktop,Firefox,Organic Search,Product Launch,Pricing,3,1,Yes,10,3.77,32,0,0,Contact,0.0
2024-10-20,SES000117,USR01458,USA,Dallas,Mobile,Safari,Referral,Brand Awareness,Contact,2,1,Yes,7,6.35,37,0,0,Contact,0.0
2025-05-22,SES000118,USR00836,UK,London,Mobile,Chrome,Direct,Product Launch,Pricing,2,1,No,7,2.69,43,1,326,Checkout,50.0
2025-05-19,SES000119,USR00076,India,Mumbai,Mobile,Safari,Paid Search,No Campaign,Pricing,2,1,Yes,7,3.19,29,0,0,Blog,0.0
2025-06-12,SES000120,USR01052,India,Mumbai,Mobile,Chrome,Organic Search,Product Launch,Contact,3,1,Yes,10,0.94,28,0,0,Home,0.0
2024-08-17,SES000121,USR00400,Australia,Sydney,Mobile,Edge,Organic Search,Summer Sale,Contact,1,1,No,2,4.3,30,0,0,Checkout,0.0
2025-03-30,SES000122,USR01026,India,Delhi,Desktop,Edge,Paid Search,Summer Sale,Home,1,1,Yes,6,3.52,25,0,0,Products,0.0
2024-08-20,SES000123,USR00075,USA,Chicago,Mobile,Firefox,Direct,Summer Sale,Pricing,4,1,No,7,3.48,37,0,0,Pricing,0.0
2025-03-22,SES000124,USR01914,Australia,Melbourne,Desktop,Edge,Social,Brand Awareness,Blog,1,1,Yes,7,3.24,63,0,0,Contact,0.0
2024-07-10,SES000125,USR01591,India,Delhi,Mobile,Firefox,Direct,No Campaign,Home,1,1,Yes,5,1.03,41,0,0,Checkout,0.0
2024-09-29,SES000126,USR00889,Australia,Melbourne,Mobile,Safari,Social,Summer Sale,Pricing,1,1,Yes,3,2.85,55,0,0,Checkout,0.0
2024-06-19,SES000127,USR00270,India,Mumbai,Mobile,Edge,Referral,Email Retention,Contact,3,1,No,5,2.64,46,0,0,Checkout,0.0
2024-03-30,SES000128,USR00622,Australia,Melbourne,Desktop,Firefox,Direct,Email Retention,Pricing,2,1,Yes,9,2.42,43,0,0,Products,0.0
2024-07-12,SES000129,USR00606,Australia,Melbourne,Tablet,Chrome,Organic Search,Summer Sale,Products,3,1,Yes,6,4.86,34,0,0,Pricing,0.0
2025-03-26,SES000130,USR00722,India,Hyderabad,Mobile,Safari,Direct,No Campaign,Products,1,1,No,5,6.3,41,0,0,Contact,0.0
2024-04-07,SES000131,USR00241,Canada,Vancouver,Desktop,Firefox,Paid Search,Email Retention,Contact,2,1,Yes,9,3.6,25,1,359,Pricing,50.0
2024-04-23,SES000132,USR00014,Canada,Vancouver,Desktop,Firefox,Organic Search,Email Retention,Blog,3,1,No,8,2.03,38,0,0,Pricing,0.0
2024-05-28,SES000133,USR00053,Canada,Vancouver,Mobile,Chrome,Organic Search,Festive Offer,Contact,3,1,No,9,2.81,34,0,0,Contact,0.0
2024-11-15,SES000134,USR00140,Australia,Melbourne,Mobile,Safari,Direct,Summer Sale,Blog,4,1,No,11,4.16,51,0,0,Checkout,0.0
2024-06-06,SES000135,USR01050,USA,San Francisco,Mobile,Safari,Direct,Summer Sale,Checkout,3,1,No,5,5.42,42,0,0,Contact,0.0
2025-03-06,SES000136,USR00724,USA,Dallas,Desktop,Chrome,Organic Search,No Campaign,Blog,2,1,Yes,9,6.08,32,0,0,Pricing,0.0
2024-01-05,SES000137,USR01162,UK,Manchester,Desktop,Edge,Direct,No Campaign,Contact,1,1,Yes,5,4.65,42,0,0,Blog,0.0
2024-05-04,SES000138,USR01005,USA,Chicago,Mobile,Firefox,Direct,Product Launch,Blog,1,1,Yes,3,5.16,39,0,0,Checkout,0.0
2024-11-26,SES000139,USR00451,USA,Chicago,Mobile,Firefox,Organic Search,Product Launch,Home,3,1,No,5,1.17,29,0,0,Products,0.0
2024-09-12,SES000140,USR00857,USA,New York,Mobile,Edge,Direct,Email Retention,Home,2,1,Yes,8,5.34,37,0,0,Checkout,0.0
2024-08-14,SES000141,USR00777,Canada,Vancouver,Mobile,Safari,Paid Search,Summer Sale,Pricing,1,1,No,5,4.56,24,0,0,Home,0.0
2024-12-09,SES000142,USR00392,Australia,Melbourne,Mobile,Firefox,Paid Search,Festive Offer,Pricing,1,1,Yes,8,3.72,33,0,0,Pricing,0.0
2024-01-26,SES000143,USR00327,UK,London,Mobile,Edge,Organic Search,Festive Offer,Products,2,1,No,7,3.33,31,0,0,Contact,0.0
2024-08-01,SES000144,USR01246,UK,Manchester,Mobile,Safari,Organic Search,Brand Awareness,Home,4,1,Yes,7,4.44,35,0,0,Pricing,0.0
2025-01-29,SES000145,USR01826,India,Hyderabad,Mobile,Chrome,Organic Search,Summer Sale,Contact,1,1,No,4,6.19,34,0,0,Pricing,0.0
2024-07-16,SES000146,USR01919,India,Delhi,Mobile,Edge,Organic Search,Brand Awareness,Home,4,1,No,9,5.35,38,0,0,Checkout,0.0
2024-12-25,SES000147,USR00236,Canada,Toronto,Mobile,Edge,Paid Search,Product Launch,Checkout,2,1,Yes,9,5.57,33,0,0,Home,0.0
2025-02-18,SES000148,USR01157,India,Hyderabad,Mobile,Safari,Organic Search,Product Launch,Blog,3,1,No,6,7.0,39,0,0,Checkout,0.0
2024-12-23,SES000149,USR00431,India,Mumbai,Desktop,Edge,Social,No Campaign,Home,3,1,No,4,5.45,48,0,0,Blog,0.0
2024-08-14,SES000150,USR01386,UK,London,Mobile,Safari,Referral,Email Retention,Checkout,4,1,Yes,10,4.08,48,0,0,Products,0.0
2024-02-14,SES000151,USR00844,Australia,Melbourne,Mobile,Chrome,Organic Search,Brand Awareness,Checkout,2,1,No,7,1.72,34,0,0,Checkout,0.0
2025-05-13,SES000152,USR00684,Canada,Toronto,Desktop,Chrome,Organic Search,Product Launch,Blog,4,1,Yes,7,5.34,38,0,0,Products,0.0
2025-04-17,SES000153,USR01437,Canada,Toronto,Mobile,Edge,Organic Search,Email Retention,Home,3,1,Yes,11,2.97,33,0,0,Blog,0.0
2025-01-06,SES000154,USR01002,UK,London,Mobile,Firefox,Organic Search,Email Retention,Products,4,1,No,12,0.86,29,0,0,Home,0.0
2024-10-19,SES000155,USR00754,Australia,Melbourne,Mobile,Safari,Organic Search,No Campaign,Contact,1,1,Yes,2,1.48,39,0,0,Checkout,0.0
2024-11-13,SES000156,USR00491,Australia,Melbourne,Mobile,Chrome,Paid Search,Summer Sale,Home,3,1,No,9,6.86,29,0,0,Products,0.0
2025-05-21,SES000157,USR01305,Canada,Vancouver,Desktop,Firefox,Email,Summer Sale,Home,1,1,No,4,4.01,37,0,0,Products,0.0
2025-01-16,SES000158,USR00899,India,Mumbai,Desktop,Chrome,Social,No Campaign,Products,4,1,Yes,7,3.34,56,0,0,Home,0.0
2025-03-29,SES000159,USR01970,Australia,Melbourne,Mobile,Chrome,Direct,Summer Sale,Checkout,3,1,No,11,4.88,50,0,0,Pricing,0.0
2025-03-07,SES000160,USR01353,UK,Manchester,Mobile,Edge,Organic Search,Product Launch,Contact,3,1,No,4,3.21,33,0,0,Products,0.0
2025-03-27,SES000161,USR00385,Canada,Vancouver,Mobile,Edge,Organic Search,No Campaign,Blog,2,1,Yes,4,4.51,34,0,0,Products,0.0
2024-04-25,SES000162,USR01056,Australia,Sydney,Desktop,Chrome,Paid Search,Email Retention,Checkout,4,1,No,7,4.45,38,0,0,Products,0.0
2025-05-01,SES000163,USR00247,India,Pune,Mobile,Safari,Direct,Email Retention,Home,4,1,Yes,8,4.57,38,1,213,Checkout,25.0
2024-12-29,SES000164,USR01510,USA,Dallas,Desktop,Edge,Organic Search,No Campaign,Blog,1,1,Yes,6,6.27,30,0,0,Pricing,0.0
2024-04-12,SES000165,USR00901,UK,Manchester,Desktop,Chrome,Organic Search,Summer Sale,Blog,2,1,Yes,7,1.29,38,0,0,Pricing,0.0
2024-07-08,SES000166,USR00310,USA,Dallas,Desktop,Firefox,Paid Search,Product Launch,Blog,2,1,Yes,7,6.16,30,1,235,Home,50.0
2024-03-17,SES000167,USR00638,USA,San Francisco,Desktop,Safari,Email,Product Launch,Contact,4,1,Yes,11,2.22,37,0,0,Pricing,0.0
2025-04-23,SES000168,USR00510,UK,Manchester,Mobile,Firefox,Organic Search,Product Launch,Home,1,1,Yes,7,5.67,42,0,0,Products,0.0
2024-10-06,SES000169,USR01586,Canada,Vancouver,Mobile,Firefox,Email,No Campaign,Contact,3,1,Yes,6,3.23,31,0,0,Pricing,0.0
2024-08-31,SES000170,USR00691,USA,New York,Mobile,Edge,Paid Search,Email Retention,Contact,3,1,No,7,6.79,33,0,0,Products,0.0
2024-12-23,SES000171,USR00618,USA,Chicago,Mobile,Edge,Social,Festive Offer,Checkout,4,1,No,11,1.29,61,0,0,Products,0.0
2024-03-22,SES000172,USR00565,Australia,Sydney,Mobile,Edge,Organic Search,Product Launch,Home,4,1,Yes,10,5.0,40,0,0,Products,0.0
2024-01-21,SES000173,USR00163,USA,New York,Mobile,Chrome,Organic Search,Product Launch,Pricing,3,1,Yes,5,0.83,33,0,0,Pricing,0.0
2024-01-16,SES000174,USR00358,UK,London,Mobile,Chrome,Organic Search,Email Retention,Home,1,1,Yes,9,5.0,39,0,0,Pricing,0.0
2025-05-21,SES000175,USR00115,Australia,Melbourne,Mobile,Firefox,Direct,Product Launch,Checkout,1,1,No,2,1.85,47,0,0,Home,0.0
2024-06-08,SES000176,USR01347,USA,Chicago,Mobile,Edge,Social,Brand Awareness,Checkout,3,1,No,9,6.25,60,0,0,Blog,0.0
2024-02-02,SES000177,USR00309,UK,Manchester,Mobile,Safari,Organic Search,Email Retention,Home,3,1,Yes,6,4.99,35,1,245,Home,33.33
